"index","book_id","book_title","publication_info","author","num_ratings","num_reviews","average_rating","publication_date"
67,454,"Travels in the Scriptorium","First published ","Paul Auster",10624,1082,"3.26","2006-12-01"
68,456,"Leviathan","First published ","Paul Auster",18776,995,"3.97","1992-01-01"
69,475,"Collapse: How Societies Choose to Fail or Succeed","First published ","Jared Diamond",71503,3774,"3.93","2004-01-01"
70,478,"Bowling Alone: The Collapse and Revival of American Community","First published ","Robert D. Putnam",7429,872,"3.84","2000-01-01"
71,493,"My Inventions","First published ","Nikola Tesla",10880,876,"3.90","1935-05-01"
72,597,"Killing Yourself to Live: 85% of a True Story","First published ","Chuck Klosterman",27967,1318,"3.85","2005-06-28"
73,599,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto","First published ","Chuck Klosterman",71223,3814,"3.74","2003-07-20"
74,629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values","First published ","Robert M. Pirsig",231128,10714,"3.78","1974-04-01"
75,647,"No Logo","First published ","Naomi Klein",31413,1236,"3.88","2000-01-01"
76,656,"War and Peace","First published ","Leo Tolstoy",329772,17458,"4.16","1868-01-01"
77,658,"The Kingdom of God Is Within You","First published ","Leo Tolstoy",4455,434,"4.12","1893-01-01"
78,662,"Atlas Shrugged","First published ","Ayn Rand",390964,20172,"3.69","1957-10-10"
79,665,"The Virtue of Selfishness: A New Concept of Egoism","First published ","Ayn Rand",14340,766,"3.55","1961-01-01"
80,667,"Anthem","First published ","Ayn Rand",156299,11461,"3.61","1938-05-01"
81,668,"We the Living","First published ","Ayn Rand",29442,1630,"3.95","1936-01-01"
82,676,"Sailing Alone Around the Room: New and Selected Poems","First published ","Billy Collins",13939,839,"4.23","2001-01-01"
83,681,"Natural Cures ""They"" Don't Want You to Know about","First published ","Kevin Trudeau",1938,324,"3.13","2004-01-01"
84,682,"More Natural ''Cures'' Revealed: Previously Censored Brand Name Products That Cure Disease","First published ","Kevin Trudeau",407,55,"3.38","2006-03-01"
85,685,"The Natural","First published ","Bernard Malamud",11666,986,"3.62","1952-01-01"
86,698,"Digging to America","First published ","Anne Tyler",22503,2518,"3.58","2006-05-02"
87,703,"The Plot Against America","First published ","Philip Roth",61408,5235,"3.80","2004-10-05"
88,706,"America (The Book): A Citizen's Guide to Democracy Inaction","First published ","Jon   Stewart",95961,1476,"4.01","2004-05-18"
89,707,"Naked Pictures of Famous People","First published ","Jon Stewart",9953,501,"3.58","1998-01-01"
90,759,"Collected Stories","First published ","Gabriel García Márquez",8446,355,"4.18","1983-09-01"
91,760,"Memories of My Melancholy Whores","First published ","Gabriel García Márquez",87778,5772,"3.59","2004-10-19"
93,815,"3 Nights in August: Strategy, Heartbreak, and Joy Inside the Mind of a Manager","First published ","Buzz Bissinger",8297,351,"3.91","2005-04-01"
94,816,"Cryptonomicon","First published ","Neal Stephenson",112423,6053,"4.24","1999-05-01"
95,822,"The Confusion","First published ","Neal Stephenson",24193,796,"4.27","2004-04-13"
96,823,"Quicksilver","First published ","Neal Stephenson",42064,2315,"3.92","2003-09-23"
97,825,"Zodiac","First published ","Neal Stephenson",19785,867,"3.73","1988-05-01"
98,827,"The Diamond Age: Or, a Young Lady's Illustrated Primer","First published ","Neal Stephenson",90116,3932,"4.16","1995-02-01"
99,830,"Snow Crash","First published ","Neal Stephenson",281078,12340,"4.02","1992-06-01"
102,868,"Fullmetal Alchemist, Vol. 3","First published ","Hiromu Arakawa",23022,560,"4.55","2002-09-21"
103,870,"Fullmetal Alchemist, Vol. 1","First published ","Hiromu Arakawa",167491,2393,"4.53","2002-01-22"
104,890,"Of Mice and Men","First published ","John Steinbeck",2559548,53348,"3.88","1937-02-25"
105,902,"The Westing Game","First published ","Ellen Raskin",214103,14444,"4.00","1978-06-01"
107,930,"Memoirs of a Geisha","First published ","Arthur Golden",2006832,36164,"4.15","1997-01-01"
108,960,"Angels & Demons","First published ","Dan       Brown",3204796,34028,"3.94","2000-05-01"
109,968,"The Da Vinci Code","First published ","Dan       Brown",2360320,55077,"3.92","2003-03-18"
110,976,"Deception Point","First published ","Dan       Brown",671296,11126,"3.75","2001-01-01"
111,998,"The Millionaire Next Door: The Surprising Secrets of America's Wealthy","First published ","Thomas J. Stanley",115103,4773,"4.06","1995-10-28"
112,1031,"Trump: Think Like a Billionaire: Everything You Need to Know About Success, Real Estate, and Life","First published ","Donald J. Trump",2142,158,"3.63","2004-10-12"
113,1032,"Trump: The Art of the Deal","First published ","Donald J. Trump",21043,1595,"3.68","1987-11-01"
114,1035,"Trump: How to Get Rich","First published ","Donald J. Trump",2867,223,"3.40","2004-01-01"
115,1036,"Trump: The Way to the Top: The Best Business Advice I Ever Received","First published ","Donald J. Trump",396,35,"3.36","2004-01-01"
117,1059,"Shibumi","First published ","Trevanian",17901,1255,"4.18","1979-01-01"
